country,respondent_id,age,urban_rural,income_level,sex,marital_status,education,life_satisfaction,freedom_of_choice,emancipative_values,trust_people,importance_of_god,financial_satisfaction,secular_values
Hong Kong SAR,344071101,34.0,Urban,Medium,Female,Single,Higher,5.0,4.0,0.68462963,Not trusted,6.0,4.0,0.7475
Hong Kong SAR,344070430,60.0,Urban,Medium,Female,Married,Middle,8.0,8.0,0.592037037,Trusted,6.0,6.0,0.3866666667
Hong Kong SAR,344071252,32.0,Urban,Medium,Female,Single,Higher,5.0,6.0,0.41962963,Not trusted,8.0,5.0,0.3730555556
Hong Kong SAR,344070071,62.0,Urban,Low,Female,Widowed,Lower,5.0,4.0,0.348425926,Not trusted,7.0,5.0,0.5816666667
Hong Kong SAR,344071922,35.0,Urban,Medium,Male,Married,Middle,6.0,8.0,0.568611111,Trusted,5.0,6.0,0.3866666667
Hong Kong SAR,344070787,18.0,Urban,Medium,Male,Single,Middle,7.0,7.0,0.71662037,Not trusted,1.0,9.0,0.4569444444
Hong Kong SAR,344070369,26.0,Urban,Medium,Male,Single,Higher,10.0,10.0,0.614289074,Not trusted,10.0,10.0,0.2763888889
Hong Kong SAR,344070212,28.0,Urban,Medium,Female,Single,Higher,6.0,6.0,0.728055556,Trusted,4.0,7.0,0.5116666667
Hong Kong SAR,344070112,30.0,Urban,Medium,Male,Single,Higher,7.0,7.0,0.607962963,Trusted,10.0,7.0,0.3597222222
Hong Kong SAR,344070421,35.0,Urban,Medium,Female,Single,Higher,7.0,8.0,0.746574074,Not trusted,1.0,7.0,0.7058333333
Hong Kong SAR,344070938,38.0,Urban,Low,Female,Divorced,Lower,3.0,4.0,0.638055556,Not trusted,1.0,6.0,0.4858333333
Hong Kong SAR,344070412,38.0,Urban,Medium,Male,Married,Middle,8.0,7.0,0.3675,Trusted,1.0,6.0,0.43
Hong Kong SAR,344071818,63.0,Urban,Medium,Male,Widowed,Lower,6.0,9.0,0.357962963,Not trusted,6.0,6.0,0.4427777778
Hong Kong SAR,344070937,34.0,Urban,Medium,Female,Married,Higher,9.0,8.0,0.479953704,Not trusted,1.0,8.0,0.4711111111
Hong Kong SAR,344070862,44.0,Urban,Low,Female,Married,Lower,6.0,9.0,0.369259259,Not trusted,3.0,6.0,0.4291666667
Hong Kong SAR,344072053,63.0,Urban,Medium,Female,Single,Middle,8.0,7.0,0.35537037,Trusted,9.0,7.0,0.3172222222
Hong Kong SAR,344071284,21.0,Urban,Medium,Male,Single,Middle,5.0,6.0,0.478333333,Trusted,9.0,3.0,0.6647222222
Hong Kong SAR,344071338,28.0,Urban,Medium,Male,Single,Middle,8.0,8.0,0.58875,Not trusted,1.0,5.0,0.4708333333
Hong Kong SAR,344071081,55.0,Urban,Medium,Female,Single,Middle,6.0,6.0,0.36462963,Not trusted,4.0,6.0,0.7477777778
Hong Kong SAR,344070355,33.0,Urban,Low,Female,Married,Middle,3.0,6.0,0.339166667,Trusted,10.0,2.0,0.2072222222
Hong Kong SAR,344070197,29.0,Urban,Medium,Female,Single,Middle,7.0,7.0,0.735277778,Not trusted,1.0,6.0,0.6516666667
Hong Kong SAR,344071817,58.0,Urban,Medium,Male,Single,Middle,8.0,7.0,0.374444444,Not trusted,1.0,8.0,0.305
Hong Kong SAR,344070531,,Urban,Medium,Female,Married,Lower,10.0,10.0,0.51537037,Trusted,4.0,1.0,0.3452777778
Hong Kong SAR,344071623,40.0,Urban,Medium,Female,Married,Higher,4.0,4.0,0.339444444,Not trusted,3.0,8.0,0.5108333333
Hong Kong SAR,344070101,63.0,Urban,Low,Male,Single,Lower,5.0,4.0,0.551296296,Not trusted,10.0,5.0,0.1794444444
Hong Kong SAR,344070322,40.0,Urban,Low,Male,Married,Middle,7.0,5.0,0.387361111,Not trusted,2.0,5.0,0.6091666667
Hong Kong SAR,344070472,82.0,Urban,Low,Male,Married,Lower,10.0,10.0,0.19474787,Trusted,,10.0,0.3526975
Hong Kong SAR,344070977,45.0,Urban,Medium,Male,Married,Lower,8.0,7.0,0.561388889,Trusted,3.0,8.0,0.415
Hong Kong SAR,344071695,42.0,Urban,Medium,Female,Married,Higher,8.0,8.0,0.638888889,Not trusted,10.0,7.0,0.2483333333
Hong Kong SAR,344071343,54.0,Urban,Medium,Female,Divorced,Middle,4.0,8.0,0.36462963,Trusted,7.0,2.0,0.5261111111
Hong Kong SAR,344071827,58.0,Urban,Medium,Female,Single,Higher,7.0,8.0,0.214166667,Trusted,10.0,6.0,0.4141666667
Hong Kong SAR,344070530,23.0,Urban,Low,Female,Single,Middle,3.0,4.0,0.443611111,Not trusted,6.0,3.0,0.3869444444
Hong Kong SAR,344071388,46.0,Urban,Medium,Male,Married,Lower,6.0,6.0,0.422638889,Not trusted,6.0,6.0,0.7191666667
Hong Kong SAR,344070057,84.0,Urban,Low,Female,Widowed,Lower,8.0,5.0,0.450277778,Not trusted,10.0,8.0,0.3588888889
Hong Kong SAR,344070562,69.0,Urban,Medium,Female,Single,Middle,8.0,8.0,0.694814815,Trusted,6.0,9.0,0.3227552778
Hong Kong SAR,344071177,52.0,Urban,Medium,Female,Single,Higher,7.0,7.0,0.688287037,Trusted,8.0,7.0,0.5394444444
Hong Kong SAR,344071455,69.0,Urban,Low,Female,Widowed,Middle,3.0,4.0,0.496157407,Not trusted,5.0,4.0,0.4141666667
Hong Kong SAR,344070125,63.0,Urban,Medium,Female,Married,Lower,8.0,5.0,0.482824074,Trusted,7.0,8.0,0.3844708333
Hong Kong SAR,344071321,29.0,Urban,Low,Male,Single,Higher,3.0,3.0,0.318333333,Not trusted,1.0,2.0,0.6786111111
Hong Kong SAR,344071622,61.0,Urban,Medium,Male,Married,Higher,5.0,5.0,0.54,Not trusted,3.0,6.0,0.3591666667
Hong Kong SAR,344070221,52.0,Urban,Medium,Male,Married,Higher,3.0,3.0,0.756944444,Not trusted,1.0,2.0,0.6233333333
Hong Kong SAR,344070030,65.0,Urban,Medium,Male,Married,Middle,6.0,6.0,0.254356852,Not trusted,,7.0,0.4086216667
Hong Kong SAR,344071645,61.0,Urban,Medium,Male,Married,Higher,6.0,8.0,0.669351852,Trusted,6.0,7.0,0.54
Hong Kong SAR,344071966,31.0,Urban,Low,Female,Married,Middle,5.0,5.0,0.702592593,Not trusted,8.0,5.0,0.4141666667
Hong Kong SAR,344071194,23.0,Urban,Low,Male,Single,Middle,7.0,9.0,0.688842593,Trusted,5.0,7.0,0.29
Hong Kong SAR,344071353,29.0,Urban,Medium,Female,Married,Higher,8.0,8.0,0.69212963,Trusted,8.0,8.0,0.5952777778
Hong Kong SAR,344071430,49.0,Urban,Medium,Female,Single,Higher,7.0,7.0,0.64212963,Not trusted,8.0,8.0,0.5261111111
Hong Kong SAR,344071259,51.0,Urban,Low,Male,Single,Middle,5.0,8.0,0.438703704,Not trusted,1.0,1.0,0.5391666667
Hong Kong SAR,344071112,61.0,Urban,Medium,Male,Married,Middle,7.0,7.0,0.591203704,Not trusted,10.0,7.0,0.4563888889
Hong Kong SAR,344070234,44.0,Urban,Low,Female,Divorced,Middle,10.0,10.0,0.36,Not trusted,10.0,10.0,0.3316666667
Hong Kong SAR,344070483,60.0,Urban,Low,Female,Widowed,Lower,1.0,1.0,0.626481482,Not trusted,1.0,1.0,0.7169775
Hong Kong SAR,344070611,47.0,Urban,Medium,Male,Married,Middle,7.0,7.0,0.289074074,Trusted,1.0,4.0,0.5675
Hong Kong SAR,344070375,72.0,Urban,Medium,Female,Married,Lower,7.0,6.0,0.435185185,Not trusted,9.0,7.0,0.1938888889
Hong Kong SAR,344070536,43.0,Urban,Medium,Female,Married,Middle,7.0,8.0,0.644305556,Trusted,6.0,8.0,0.6786111111
Hong Kong SAR,344071030,67.0,Urban,Medium,Male,Married,Lower,8.0,8.0,0.682171667,,3.0,8.0,0.4403041667
Hong Kong SAR,344070941,47.0,Urban,Medium,Female,Married,Higher,8.0,8.0,0.355231482,Not trusted,10.0,8.0,0.3455555556
Hong Kong SAR,344070185,23.0,Urban,Medium,Male,Single,Higher,7.0,4.0,0.443611111,Trusted,8.0,7.0,0.4694444444
Hong Kong SAR,344072019,56.0,Urban,Medium,Male,Married,Middle,8.0,8.0,0.545740741,Not trusted,1.0,9.0,0.4283333333
Hong Kong SAR,344070481,59.0,Urban,Medium,Male,Married,Higher,8.0,8.0,0.61542,Trusted,10.0,8.0,0.3008583333
Hong Kong SAR,344071348,29.0,Urban,Medium,Female,Married,Middle,6.0,6.0,0.362592593,Trusted,2.0,6.0,0.5122222222
Hong Kong SAR,344071113,27.0,Urban,Medium,Male,Single,Higher,7.0,7.0,0.728055556,Trusted,10.0,6.0,0.7475
Hong Kong SAR,344071526,58.0,Urban,Medium,Male,Married,Middle,6.0,7.0,0.435972222,Trusted,6.0,6.0,0.3327777778
Hong Kong SAR,344071606,45.0,Urban,Medium,Male,Single,Higher,6.0,5.0,0.463888889,Not trusted,5.0,7.0,0.6916666667
Hong Kong SAR,344070070,48.0,Urban,Low,Male,Married,Higher,7.0,5.0,0.457222222,Trusted,5.0,5.0,0.6786111111
Hong Kong SAR,344070594,58.0,Urban,Low,Female,Single,Lower,1.0,1.0,0.311666667,Not trusted,5.0,1.0,0.3325
Hong Kong SAR,344070793,57.0,Urban,Low,Female,Married,Lower,10.0,1.0,0.324861111,Not trusted,5.0,8.0,0.3466666667
Hong Kong SAR,344070520,77.0,Urban,Low,Female,Widowed,Lower,4.0,5.0,0.380833333,Not trusted,1.0,2.0,0.4152777778
Hong Kong SAR,344071132,35.0,Urban,Medium,Female,Married,Higher,7.0,7.0,0.339166667,Not trusted,5.0,7.0,0.5258333333
Hong Kong SAR,344071771,54.0,Urban,Medium,Male,Married,Middle,8.0,10.0,0.687083333,Not trusted,1.0,6.0,0.6108333333
Hong Kong SAR,344071597,61.0,Urban,Medium,Female,Married,Middle,8.0,8.0,0.314259259,Trusted,8.0,8.0,0.11
Hong Kong SAR,344071764,59.0,Urban,High,Male,Married,Higher,7.0,8.0,0.489212963,Trusted,1.0,3.0,0.5958333333
Hong Kong SAR,344070129,66.0,Urban,Low,Male,Married,Middle,5.0,7.0,0.546018519,Not trusted,2.0,5.0,0.3458333333
Hong Kong SAR,344070213,59.0,Urban,Low,Female,Married,Lower,10.0,10.0,0.450833333,Not trusted,5.0,10.0,0.305
Hong Kong SAR,344070746,23.0,Urban,High,Female,Single,Higher,9.0,8.0,0.672777778,Trusted,6.0,7.0,0.1386111111
Hong Kong SAR,344071642,22.0,Urban,Low,Male,Single,Higher,3.0,4.0,0.415416667,Not trusted,2.0,4.0,0.6641666667
Hong Kong SAR,344070789,45.0,Urban,Medium,Male,Married,Higher,5.0,5.0,0.341064815,Not trusted,5.0,5.0,0.6091666667
Hong Kong SAR,344071106,30.0,Urban,Medium,Female,Single,Middle,5.0,5.0,0.397037037,Not trusted,10.0,6.0,0.5952777778
Hong Kong SAR,344072068,21.0,Urban,Medium,Female,Single,Middle,4.0,4.0,0.334537037,Trusted,2.0,5.0,0.6366666667
Hong Kong SAR,344071583,53.0,Urban,Medium,Female,Married,Middle,6.0,6.0,0.272314815,Trusted,6.0,6.0,0.6366666667
Hong Kong SAR,344071342,51.0,Urban,Medium,Female,Married,Lower,8.0,8.0,0.552407407,Not trusted,3.0,9.0,0.4575
Hong Kong SAR,344071088,36.0,Urban,High,Female,Married,Higher,9.0,9.0,0.302268519,Not trusted,10.0,9.0,0.2483333333
Hong Kong SAR,344071023,69.0,Urban,Medium,Female,Married,Lower,6.0,6.0,0.410925926,Trusted,10.0,5.0,0.2066666667
Hong Kong SAR,344071899,36.0,Urban,High,Female,Married,Higher,7.0,7.0,0.518518519,Not trusted,3.0,8.0,0.4291666667
Hong Kong SAR,344070638,31.0,Urban,Medium,Male,Single,Middle,7.0,7.0,0.313842593,Not trusted,3.0,5.0,0.4152777778
Hong Kong SAR,344071019,34.0,Urban,Low,Female,Living together as married,Lower,2.0,2.0,0.560185185,Not trusted,10.0,2.0,0.1658333333
Hong Kong SAR,344071293,28.0,Urban,Medium,Male,Single,Higher,6.0,6.0,0.797916667,Not trusted,1.0,6.0,0.61
Hong Kong SAR,344071832,66.0,Urban,Low,Male,Married,Middle,5.0,4.0,0.695648148,Not trusted,1.0,7.0,0.5961111111
Hong Kong SAR,344070944,55.0,Urban,Medium,Male,Married,Middle,8.0,7.0,0.431759259,Trusted,6.0,7.0,0.4702777778
Hong Kong SAR,344070307,73.0,Urban,Low,Male,Married,Middle,7.0,5.0,0.426712963,Trusted,1.0,7.0,0.3591666667
Hong Kong SAR,344070486,60.0,Urban,Low,Male,Married,Lower,5.0,6.0,0.400833333,Not trusted,1.0,7.0,0.5258333333
Hong Kong SAR,344070620,28.0,Urban,Medium,Female,Single,Middle,6.0,7.0,0.688425926,Trusted,1.0,5.0,0.6783333333
Hong Kong SAR,344070496,76.0,Urban,Medium,Female,Widowed,Lower,8.0,9.0,0.320509259,Not trusted,1.0,9.0,0.4291666667
Hong Kong SAR,344070556,70.0,Urban,Low,Female,Widowed,Lower,10.0,9.0,0.33875,Not trusted,1.0,9.0,0.3875
Hong Kong SAR,344070368,24.0,Urban,Medium,Male,Single,Higher,7.0,8.0,0.477638889,Trusted,4.0,8.0,0.6369444444
Hong Kong SAR,344071465,69.0,Urban,Medium,Male,Married,Lower,5.0,5.0,0.263194444,Not trusted,5.0,5.0,0.4291666667
Hong Kong SAR,344070608,69.0,Urban,Low,Female,Married,Lower,1.0,1.0,0.383425926,Not trusted,6.0,1.0,0.3079988889
Hong Kong SAR,344070066,50.0,Urban,Low,Male,Married,Higher,5.0,3.0,0.657777778,Not trusted,10.0,6.0,0.4975
Hong Kong SAR,344070211,64.0,Urban,High,Female,Married,Lower,5.0,6.0,0.409166667,Not trusted,8.0,5.0,0.4833333333
Hong Kong SAR,344070451,78.0,Urban,Medium,Female,Living together as married,Lower,8.0,10.0,0.314509259,Not trusted,7.0,5.0,0.3877777778
Hong Kong SAR,344071611,24.0,Urban,Medium,Male,Single,Higher,7.0,7.0,0.655740741,Not trusted,7.0,6.0,0.5675
Hong Kong SAR,344071688,51.0,Urban,Medium,Female,Married,Higher,7.0,7.0,0.491527778,Not trusted,7.0,7.0,0.775
Hong Kong SAR,344070818,67.0,Urban,Medium,Female,Widowed,Lower,5.0,4.0,0.80037037,Not trusted,7.0,4.0,0.6508333333
Hong Kong SAR,344070615,76.0,Urban,Low,Female,Widowed,Lower,9.0,8.0,0.357685185,Not trusted,9.0,6.0,0.4988888889
Hong Kong SAR,344071339,32.0,Urban,Medium,Male,Single,Middle,5.0,5.0,0.499444444,Not trusted,5.0,2.0,0.4291666667
Hong Kong SAR,344070535,56.0,Urban,Medium,Female,Married,Middle,8.0,9.0,0.369537037,Not trusted,2.0,9.0,0.5125
Hong Kong SAR,344070394,68.0,Urban,Low,Male,Married,Lower,8.0,10.0,0.359583333,Not trusted,1.0,3.0,0.47
Hong Kong SAR,344071434,47.0,Urban,Low,Male,Single,Higher,3.0,2.0,0.767407407,Not trusted,4.0,6.0,0.5125
Hong Kong SAR,344071926,38.0,Urban,Medium,Female,Married,Higher,8.0,7.0,0.4225,Trusted,2.0,8.0,0.4291666667
Hong Kong SAR,344070549,77.0,Urban,,Male,Married,Middle,5.0,5.0,0.506388889,Trusted,5.0,5.0,0.1933333333
Hong Kong SAR,344070232,61.0,Urban,Medium,Female,Married,Middle,8.0,8.0,0.32787037,Trusted,9.0,8.0,0.3041666667
Hong Kong SAR,344070833,87.0,Urban,Low,Male,Married,Middle,8.0,5.0,0.371574074,Not trusted,1.0,6.0,0.5691666667
Hong Kong SAR,344071615,41.0,Urban,Medium,Male,Single,Higher,6.0,5.0,0.394861111,Not trusted,6.0,5.0,0.6366666667
Hong Kong SAR,344071955,31.0,Urban,Medium,Male,Married,Higher,5.0,4.0,0.654259259,Not trusted,4.0,4.0,0.8308333333
Hong Kong SAR,344071519,46.0,Urban,Medium,Female,Married,Middle,3.0,5.0,0.621018519,Trusted,7.0,6.0,0.7055555556
Hong Kong SAR,344071118,45.0,Urban,Low,Female,Single,Middle,3.0,5.0,0.447546296,Not trusted,9.0,3.0,0.4430555556
Hong Kong SAR,344072006,33.0,Urban,High,Male,Married,Higher,8.0,8.0,0.305277778,Trusted,5.0,8.0,0.6791666667
Hong Kong SAR,344070545,42.0,Urban,Low,Female,Widowed,Lower,10.0,6.0,0.406018519,Not trusted,5.0,3.0,0.2213888889
Hong Kong SAR,344071085,38.0,Urban,Medium,Female,Single,Middle,6.0,6.0,0.346388889,Not trusted,7.0,6.0,0.6644444444
Hong Kong SAR,344071469,56.0,Urban,Medium,Female,Married,Lower,6.0,8.0,0.478611111,Not trusted,5.0,6.0,0.4144444444
Hong Kong SAR,344071687,52.0,Urban,Medium,Female,Single,Middle,8.0,8.0,0.591481482,Not trusted,1.0,8.0,0.7744444444
Hong Kong SAR,344070434,59.0,Urban,Low,Female,Married,Lower,8.0,8.0,0.439537037,Not trusted,6.0,7.0,0.4552777778
Hong Kong SAR,344071232,50.0,Urban,High,Male,Married,Higher,5.0,5.0,0.581018519,Not trusted,2.0,7.0,0.6791666667
Hong Kong SAR,344071001,56.0,Urban,Medium,Female,Married,Middle,8.0,7.0,0.450277778,Not trusted,8.0,7.0,0.3180555556
Hong Kong SAR,344071413,43.0,Urban,Medium,Female,Married,Middle,7.0,10.0,0.290833333,Trusted,6.0,6.0,0.5258333333
Hong Kong SAR,344070343,64.0,Urban,Medium,Female,Widowed,Lower,5.0,5.0,0.2975,Not trusted,5.0,5.0,0.5813888889
Hong Kong SAR,344071531,62.0,Urban,Medium,Male,Married,Middle,9.0,8.0,0.429166667,Not trusted,9.0,9.0,0.2905555556
Hong Kong SAR,344071651,42.0,Urban,Medium,Male,Married,Higher,7.0,7.0,0.641851852,Trusted,7.0,7.0,0.595
Hong Kong SAR,344070753,66.0,Urban,Low,Male,Married,Lower,10.0,8.0,0.636944444,Not trusted,1.0,5.0,0.5825
Hong Kong SAR,344070943,70.0,Urban,Medium,Female,Widowed,Lower,8.0,8.0,0.232962963,Not trusted,5.0,7.0,0.595
Hong Kong SAR,344071041,40.0,Urban,Medium,Male,Married,Higher,7.0,8.0,0.697685185,Not trusted,8.0,7.0,0.915
Hong Kong SAR,344070299,43.0,Urban,Low,Female,Living together as married,Middle,5.0,5.0,0.721805556,Not trusted,5.0,5.0,0.3175
Hong Kong SAR,344071054,52.0,Urban,Medium,Female,Single,Higher,5.0,6.0,0.395277778,Not trusted,10.0,5.0,0.5122222222
Hong Kong SAR,344070100,49.0,Urban,Medium,Female,Married,Lower,5.0,5.0,0.617222222,Trusted,10.0,4.0,0.3313888889
Hong Kong SAR,344070775,75.0,Urban,Medium,Female,Married,Lower,8.0,8.0,0.533888889,Trusted,9.0,7.0,0.1788888889
Hong Kong SAR,344071121,32.0,Urban,Medium,Male,Single,Higher,7.0,7.0,0.762777778,Trusted,3.0,7.0,0.845
Hong Kong SAR,344071306,50.0,Urban,High,Female,Single,Middle,8.0,8.0,0.554027778,Trusted,8.0,8.0,0.6375
Hong Kong SAR,344070240,69.0,Urban,Low,Female,Married,Middle,10.0,8.0,0.582222222,Not trusted,1.0,10.0,0.4425
Hong Kong SAR,344070850,45.0,Urban,Medium,Male,Married,Higher,7.0,7.0,0.677685185,Not trusted,2.0,7.0,0.5116666667
Hong Kong SAR,344071076,32.0,Urban,Low,Female,Single,Higher,4.0,4.0,0.595694444,Not trusted,6.0,2.0,0.8025
Hong Kong SAR,344070857,72.0,Urban,Low,Male,Divorced,Lower,7.0,6.0,0.466203704,Not trusted,9.0,1.0,0.4436111111
Hong Kong SAR,344070768,56.0,Urban,Low,Female,Married,Lower,9.0,5.0,0.495795556,Not trusted,5.0,6.0,0.5958333333
Hong Kong SAR,344070308,77.0,Urban,Low,Male,Married,Middle,8.0,9.0,0.424398148,Not trusted,7.0,8.0,0.2216666667
Hong Kong SAR,344072033,66.0,Urban,Low,Female,Living together as married,Middle,7.0,8.0,0.656574074,Not trusted,8.0,5.0,0.3308333333
Hong Kong SAR,344071510,18.0,Urban,Medium,Female,Single,Middle,9.0,8.0,0.630416667,Trusted,1.0,8.0,0.4104475
Hong Kong SAR,344071544,51.0,Urban,Medium,Male,Married,Middle,7.0,7.0,0.302546296,Not trusted,8.0,6.0,0.6916666667
Hong Kong SAR,344071291,29.0,Urban,Medium,Male,Single,Higher,7.0,5.0,0.529259259,Not trusted,2.0,7.0,0.8875
Hong Kong SAR,344070874,48.0,Urban,Medium,Male,Married,Higher,5.0,4.0,0.459537037,Not trusted,5.0,5.0,0.4144444444
Hong Kong SAR,344071698,45.0,Urban,Medium,Female,Married,Middle,8.0,8.0,0.568333333,Trusted,3.0,7.0,0.3458333333
Hong Kong SAR,344071601,23.0,Urban,Medium,Male,Married,Higher,8.0,7.0,0.620740741,Trusted,4.0,8.0,0.6916666667
Hong Kong SAR,344070417,80.0,Urban,Low,Female,Widowed,Lower,10.0,10.0,0.64037037,Not trusted,10.0,10.0,0.1655555556
Hong Kong SAR,344071008,32.0,Urban,Medium,Male,Married,Higher,6.0,6.0,0.334537037,Not trusted,6.0,8.0,0.7469444444
Hong Kong SAR,344070189,41.0,Urban,Low,Female,Married,Middle,8.0,8.0,0.394583333,Not trusted,4.0,8.0,0.36
Hong Kong SAR,344070999,25.0,Urban,Medium,Female,Single,Higher,6.0,7.0,0.8125,Not trusted,5.0,8.0,0.4433333333
Hong Kong SAR,344070985,31.0,Urban,Medium,Male,Married,Higher,5.0,8.0,0.279259259,Not trusted,3.0,5.0,0.7058333333
Hong Kong SAR,344071034,22.0,Urban,Medium,Female,Single,Higher,8.0,8.0,0.790833333,Not trusted,3.0,7.0,0.5258333333
Hong Kong SAR,344071971,31.0,Urban,Medium,Female,Married,Higher,7.0,6.0,0.318333333,Not trusted,3.0,5.0,0.4002777778
Hong Kong SAR,344071227,45.0,Urban,Medium,Male,Married,Higher,3.0,8.0,0.50337963,Not trusted,8.0,2.0,0.5125
Hong Kong SAR,344070820,71.0,Urban,,Female,Married,Lower,5.0,7.0,0.649351852,Not trusted,1.0,5.0,0.3877777778
Hong Kong SAR,344071542,55.0,Urban,Medium,Female,Married,Middle,9.0,8.0,0.58875,Not trusted,5.0,8.0,0.36
Hong Kong SAR,344070465,69.0,Urban,Low,Female,Married,Middle,3.0,2.0,0.626203704,Not trusted,5.0,3.0,0.4558333333
Hong Kong SAR,344071819,60.0,Urban,Medium,Male,Married,Lower,8.0,8.0,0.427268519,Not trusted,4.0,7.0,0.6366666667
Hong Kong SAR,344071562,40.0,Urban,Medium,Male,Divorced,Middle,6.0,6.0,0.487314815,Not trusted,7.0,7.0,0.7766666667
Hong Kong SAR,344070252,70.0,Urban,Medium,Female,Widowed,Lower,7.0,7.0,0.2975,Not trusted,1.0,6.0,0.3316666667
Hong Kong SAR,344070276,29.0,Urban,Medium,Male,Married,Higher,6.0,7.0,0.56125,Not trusted,2.0,8.0,0.6366666667
Hong Kong SAR,344071962,33.0,Urban,Medium,Male,Living together as married,Middle,5.0,4.0,0.761944444,Not trusted,10.0,3.0,0.4708333333
Hong Kong SAR,344071689,51.0,Urban,Medium,Female,Married,Middle,7.0,7.0,0.465277778,Not trusted,5.0,7.0,0.5822222222
Hong Kong SAR,344071729,40.0,Urban,Low,Female,Divorced,Higher,8.0,8.0,0.496574074,Not trusted,8.0,7.0,0.4841666667
Hong Kong SAR,344071949,30.0,Urban,Medium,Male,Single,Higher,7.0,7.0,0.584259259,Not trusted,8.0,7.0,0.5538888889
Hong Kong SAR,344071680,54.0,Urban,Low,Male,Single,Middle,6.0,6.0,0.403981482,Not trusted,6.0,6.0,0.4841666667
Hong Kong SAR,344071836,51.0,Urban,High,Male,Married,Middle,7.0,8.0,0.5275,Trusted,7.0,8.0,0.4852777778
Hong Kong SAR,344070612,55.0,Urban,Medium,Male,Living together as married,Middle,8.0,8.0,0.283194444,Not trusted,5.0,6.0,0.3594444444
Hong Kong SAR,344070415,65.0,Urban,High,Female,Married,Higher,9.0,9.0,0.63462963,Trusted,2.0,9.0,0.4425
Hong Kong SAR,344070446,44.0,Urban,Medium,Male,Married,Higher,4.0,4.0,0.811388889,Trusted,5.0,3.0,0.3869444444
Hong Kong SAR,344071694,46.0,Urban,Low,Male,Married,Higher,6.0,6.0,0.270277778,Not trusted,7.0,7.0,0.5813888889
Hong Kong SAR,344071304,29.0,Urban,Medium,Female,Single,Higher,7.0,7.0,0.431481482,Trusted,7.0,7.0,0.4841666667
Hong Kong SAR,344071673,48.0,Urban,Medium,Male,Married,Higher,7.0,7.0,0.232962963,Trusted,5.0,7.0,0.6644444444
Hong Kong SAR,344070866,42.0,Urban,Medium,Female,Married,Middle,7.0,8.0,0.385462963,Trusted,6.0,7.0,0.6227777778
Hong Kong SAR,344071415,57.0,Urban,Medium,Female,Married,Middle,6.0,6.0,0.295046296,Trusted,4.0,4.0,0.4286111111
Hong Kong SAR,344070880,67.0,Urban,Medium,Male,Married,Lower,7.0,5.0,0.466481482,Trusted,1.0,6.0,0.7616666667
Hong Kong SAR,344071875,35.0,Urban,Medium,Female,Single,Middle,5.0,7.0,0.35537037,Not trusted,7.0,5.0,0.6644444444
