respondent_id,country,sex,age,urban_rural,income_level,marital_status,education,life_satisfaction,freedom_of_choice,financial_satisfaction,trust_people,importance_of_god,emancipative_values,secular_values,avg_satisfaction,age_group
344070615,Hong Kong SAR,Female,76,Urban,Low,Widowed,Lower,9,8,6,Not trusted,9,0.357685185,0.4988888889,7.5,61+
344070737,Hong Kong SAR,Male,76,Urban,Medium,Married,Lower,8,7,7,Trusted,7,0.411064815,0.5675,7.5,61+
344070845,Hong Kong SAR,Female,76,Urban,Medium,Married,Lower,8,10,10,Trusted,8,0.334537037,0.1933333333,9,61+
344070692,Hong Kong SAR,Female,76,Urban,Low,Married,Lower,9,5,9,Not trusted,2,0.43162037,0.305,9,61+
360070522,Indonesia,Male,76,Urban,Medium,Married,Lower,10,10,10,Not trusted,10,0.198101852,0.1936111111,10,61+
360071741,Indonesia,Male,76,Rural,Low,Married,Lower,10,10,8,Trusted,9,0.281712963,0.2913888889,9,61+
458070874,Malaysia,Male,76,Urban,Medium,Married,Middle,8,10,8,Trusted,10,0.380416667,0.165,8,61+
792070535,Turkey,Female,76,Urban,Low,Married,Lower,6,6,6,Not trusted,6,0.269166667,0.2619444444,6,61+
344070775,Hong Kong SAR,Female,75,Urban,Medium,Married,Lower,8,8,7,Trusted,9,0.533888889,0.1788888889,7.5,61+
344070783,Hong Kong SAR,Female,75,Urban,Medium,Married,Lower,10,9,3,Not trusted,1,0.272037037,0.36175,6.5,61+
344070635,Hong Kong SAR,Male,75,Urban,Medium,Married,Lower,8,10,10,Trusted,1,0.286203704,0.3594444444,9,61+
344070616,Hong Kong SAR,Female,75,Urban,Medium,Widowed,Lower,10,10,10,Not trusted,10,0.304073704,0.2222222222,10,61+
344070763,Hong Kong SAR,Male,75,Urban,Medium,Married,Lower,8,8,9,Not trusted,10,0.305,0.0963888889,8.5,61+
360071657,Indonesia,Female,75,Rural,Low,Widowed,Lower,10,10,2,Not trusted,10,0.40125,0.1247222222,6,61+
792071172,Turkey,Female,75,Urban,Medium,Married,Middle,8,4,8,Not trusted,8,0.561527778,0.4291666667,8,61+
344070176,Hong Kong SAR,Male,74,Urban,Medium,Married,Middle,10,1,10,Not trusted,1,0.426851852,0.4433333333,10,61+
344070745,Hong Kong SAR,Female,74,Urban,Low,Married,Lower,7,8,4,Not trusted,5,0.293009259,0.6097222222,5.5,61+
344070543,Hong Kong SAR,Female,74,Urban,Medium,Married,Lower,3,5,5,Not trusted,5,0.313287037,0.431565,4,61+
344070546,Hong Kong SAR,Female,74,Urban,Low,Married,Lower,10,8,8,Not trusted,10,0.228333333,0.17610055560000001,9,61+
360073120,Indonesia,Male,74,Rural,Low,Widowed,Lower,10,10,10,Not trusted,10,0.325416667,0.0825,10,61+
360070490,Indonesia,Female,74,Urban,Low,Widowed,Lower,4,7,3,Not trusted,8,0.159166667,0.1513888889,3.5,61+
458070408,Malaysia,Male,74,Urban,Low,Single,Higher,6,8,3,Not trusted,7,0.522175926,0.5391666667,4.5,61+
458070426,Malaysia,Male,74,Rural,Medium,Married,Higher,8,8,5,Not trusted,10,0.49712963,0.2066666667,6.5,61+
458070966,Malaysia,Female,74,Urban,Medium,Widowed,Lower,7,7,7,Not trusted,7,0.456805556,0.3038888889,7,61+
344070307,Hong Kong SAR,Male,73,Urban,Low,Married,Middle,7,5,7,Trusted,1,0.426712963,0.3591666667,7,61+
344070597,Hong Kong SAR,Male,73,Urban,Low,Married,Lower,9,6,4,Not trusted,1,0.30212963,0.3714152778,6.5,61+
344070260,Hong Kong SAR,Male,73,Urban,Medium,Divorced,Lower,8,6,7,Not trusted,10,0.366527778,0.4566666667,7.5,61+
344070016,Hong Kong SAR,Male,73,Urban,Low,Married,Higher,7,6,5,Not trusted,6,0.498472222,0.5108333333,6,61+
344070359,Hong Kong SAR,Male,73,Urban,Low,Married,Lower,7,10,9,Not trusted,1,0.447067037,0.4158333333,8,61+
344070894,Hong Kong SAR,Male,73,Urban,Medium,Married,Middle,8,7,8,Not trusted,2,0.237453704,0.5394444444,8,61+
344070715,Hong Kong SAR,Female,73,Urban,Low,Married,Middle,5,9,5,Not trusted,1,0.477222222,0.3616141667,5,61+
360071095,Indonesia,Female,73,Rural,Low,Divorced,Lower,10,10,1,Not trusted,10,0.468073333,0.2204377778,5.5,61+
360072307,Indonesia,Male,73,Rural,Medium,Married,Lower,7,10,8,Not trusted,10,0.304444444,0.2913888889,7.5,61+
360072173,Indonesia,Female,73,Rural,Low,Married,Lower,10,10,6,Not trusted,10,0.235416667,0.2486111111,8,61+
458070546,Malaysia,Male,73,Urban,High,Married,Lower,5,6,6,Trusted,2,0.53375,0.72,5.5,61+
344070375,Hong Kong SAR,Female,72,Urban,Medium,Married,Lower,7,6,7,Not trusted,9,0.435185185,0.1938888889,7,61+
344070857,Hong Kong SAR,Male,72,Urban,Low,Divorced,Lower,7,6,1,Not trusted,9,0.466203704,0.4436111111,4,61+
344070484,Hong Kong SAR,Female,72,Urban,Medium,Married,Middle,9,8,8,Not trusted,9,0.446,0.2211111111,8.5,61+
344070428,Hong Kong SAR,Female,72,Urban,Low,Widowed,Lower,5,9,5,Trusted,2,0.278842593,0.3316666667,5,61+
344070773,Hong Kong SAR,Male,72,Urban,Medium,Married,Lower,5,5,4,Not trusted,5,0.417453704,0.6236111111,4.5,61+
344070846,Hong Kong SAR,Female,72,Urban,Low,Married,Lower,10,10,10,Not trusted,10,0.317916667,0.1938888889,10,61+
344070844,Hong Kong SAR,Male,72,Urban,Medium,Married,Lower,10,6,5,Not trusted,7,0.458703704,0.47,7.5,61+
344070865,Hong Kong SAR,Male,72,Urban,Medium,Married,Lower,8,9,8,Trusted,3,0.408194444,0.415,8,61+
344070537,Hong Kong SAR,Female,72,Urban,Medium,Widowed,Lower,9,10,10,Not trusted,7,0.616944444,0.4530805556,9.5,61+
344070639,Hong Kong SAR,Female,72,Urban,Low,Married,Middle,5,5,5,Trusted,1,0.3325,0.3183333333,5,61+
344070883,Hong Kong SAR,Male,72,Urban,Low,Widowed,Lower,7,7,7,Not trusted,1,0.366666667,0.5258333333,7,61+
360070219,Indonesia,Male,72,Rural,Low,Married,Lower,10,10,1,Not trusted,10,0.366666667,0.2072222222,5.5,61+
360071711,Indonesia,Female,72,Rural,Medium,Widowed,Lower,5,5,4,Not trusted,10,0.2,0.3044444444,4.5,61+
792070319,Turkey,Female,72,Urban,Low,Widowed,Lower,4,2,3,Not trusted,8,0.165833333,0.18,3.5,61+
344070116,Hong Kong SAR,Male,71,Urban,Medium,Married,Lower,5,10,7,Not trusted,1,0.307037037,0.4433333333,6,61+
344070533,Hong Kong SAR,Female,71,Urban,Low,Widowed,Lower,9,10,8,Not trusted,6,0.411481482,0.3044444444,8.5,61+
344070963,Hong Kong SAR,Female,71,Urban,Medium,Widowed,Middle,9,8,8,Not trusted,8,0.443333333,0.0825,8.5,61+
344070742,Hong Kong SAR,Male,71,Urban,Low,Married,Lower,9,4,6,Not trusted,1,0.305699444,0.6214966667,7.5,61+
344070426,Hong Kong SAR,Female,71,Urban,Low,Widowed,Lower,8,8,8,Not trusted,1,0.473425926,0.4708333333,8,61+
344070983,Hong Kong SAR,Female,71,Urban,Medium,Married,Higher,9,9,9,Not trusted,2,0.572824074,0.4427777778,9,61+
344070951,Hong Kong SAR,Male,71,Urban,Medium,Married,Lower,9,7,8,Trusted,1,0.283472222,0.2766666667,8.5,61+
344070350,Hong Kong SAR,Male,71,Urban,Low,Married,Middle,5,5,3,Not trusted,1,0.43870370400000003,0.4975,4,61+
344070126,Hong Kong SAR,Female,71,Urban,Low,Divorced,Lower,7,8,6,Not trusted,1,0.389814815,0.421555,6.5,61+
360072309,Indonesia,Male,71,Urban,Low,Married,Lower,5,5,5,Trusted,10,0.194166667,0.2358333333,5,61+
458070555,Malaysia,Female,71,Urban,Low,Married,Higher,8,8,8,Not trusted,2,0.375787037,0.4833333333,8,61+
792070266,Turkey,Female,71,Urban,Medium,Widowed,Lower,5,3,4,Not trusted,10,0.452037037,0.4158333333,4.5,61+
344070556,Hong Kong SAR,Female,70,Urban,Low,Widowed,Lower,10,9,9,Not trusted,1,0.33875,0.3875,9.5,61+
344070943,Hong Kong SAR,Female,70,Urban,Medium,Widowed,Lower,8,8,7,Not trusted,5,0.232962963,0.595,7.5,61+
344070252,Hong Kong SAR,Female,70,Urban,Medium,Widowed,Lower,7,7,6,Not trusted,1,0.2975,0.3316666667,6.5,61+
344070904,Hong Kong SAR,Male,70,Urban,Medium,Widowed,Lower,8,9,8,Not trusted,6,0.473287037,0.4016666667,8,61+
344070193,Hong Kong SAR,Female,70,Urban,Low,Divorced,Lower,7,6,8,Not trusted,7,0.484583333,0.6088888889,7.5,61+
344070332,Hong Kong SAR,Female,70,Urban,Medium,Widowed,Middle,8,10,8,Trusted,10,0.658888889,0.3177777778,8,61+
344070651,Hong Kong SAR,Female,70,Urban,Low,Widowed,Lower,6,4,5,Not trusted,2,0.311666667,0.4841666667,5.5,61+
344070344,Hong Kong SAR,Male,70,Urban,Medium,Married,Middle,8,8,8,Not trusted,3,0.556342593,0.4425,8,61+
344070340,Hong Kong SAR,Female,70,Urban,Low,Divorced,Higher,4,5,7,Not trusted,7,0.748333333,0.3319444444,5.5,61+
344070695,Hong Kong SAR,Male,70,Urban,Medium,Married,Lower,8,4,7,Not trusted,8,0.27625,0.4147222222,7.5,61+
344070519,Hong Kong SAR,Male,70,Urban,Medium,Married,Lower,10,10,9,Not trusted,7,0.2075,0.2216666667,9.5,61+
344070429,Hong Kong SAR,Female,70,Urban,Low,Widowed,Lower,5,9,5,Not trusted,2,0.184351852,0.4008333333,5,61+
344070210,Hong Kong SAR,Male,70,Urban,Medium,Married,Middle,10,10,10,Trusted,10,0.394753333,0.4838877778,10,61+
360070795,Indonesia,Female,70,Urban,Medium,Widowed,Lower,6,3,4,Not trusted,10,0.161342593,0.5686111111,5,61+
360070965,Indonesia,Female,70,Rural,High,Widowed,Middle,8,10,8,Not trusted,9,0.251064815,0.3872222222,8,61+
360073166,Indonesia,Male,70,Rural,Low,Married,Lower,1,1,10,Trusted,10,0.283333333,0.4152777778,5.5,61+
360072190,Indonesia,Male,70,Rural,Low,Married,Lower,3,2,1,Not trusted,10,0.438842593,0.305,2,61+
360072084,Indonesia,Female,70,Rural,Medium,Widowed,Lower,8,1,10,Not trusted,10,0.367083333,0.3018611111,9,61+
360071476,Indonesia,Male,70,Rural,Low,Widowed,Lower,7,8,7,Not trusted,8,0.247268519,0.2766666667,7,61+
360071478,Indonesia,Female,70,Rural,Medium,Widowed,Lower,10,10,10,Not trusted,10,0.352777778,0.0277777778,10,61+
360070291,Indonesia,Male,70,Rural,Medium,Widowed,Lower,10,10,10,Not trusted,10,0.193333333,0.2208333333,10,61+
458070240,Malaysia,Female,70,Rural,Medium,Widowed,Lower,6,3,8,Not trusted,10,0.601435185,0.3188888889,7,61+
458070429,Malaysia,Female,70,Urban,Medium,Married,Lower,8,7,8,Not trusted,8,0.472222222,0.2625,8,61+
458070606,Malaysia,Male,70,Urban,Medium,Married,Higher,9,5,8,Trusted,10,0.691018519,0.3169444444,8.5,61+
458070616,Malaysia,Female,70,Urban,Low,Married,Higher,10,8,10,Trusted,10,0.434768519,0.1930555556,10,61+
344071186,Hong Kong SAR,Female,69,Urban,Medium,Married,Lower,5,6,5,Not trusted,5,0.339166667,0.5252777778,5,61+
344070248,Hong Kong SAR,Female,69,Urban,Medium,Married,Lower,7,6,7,Not trusted,5,0.476018519,0.4702777778,7,61+
344070562,Hong Kong SAR,Female,69,Urban,Medium,Single,Middle,8,8,9,Trusted,6,0.694814815,0.3227552778,8.5,61+
344071455,Hong Kong SAR,Female,69,Urban,Low,Widowed,Middle,3,4,4,Not trusted,5,0.496157407,0.4141666667,3.5,61+
344071023,Hong Kong SAR,Female,69,Urban,Medium,Married,Lower,6,6,5,Trusted,10,0.410925926,0.2066666667,5.5,61+
344071465,Hong Kong SAR,Male,69,Urban,Medium,Married,Lower,5,5,5,Not trusted,5,0.263194444,0.4291666667,5,61+
344070608,Hong Kong SAR,Female,69,Urban,Low,Married,Lower,1,1,1,Not trusted,6,0.383425926,0.3079988889,1,61+
344070240,Hong Kong SAR,Female,69,Urban,Low,Married,Middle,10,8,10,Not trusted,1,0.582222222,0.4425,10,61+
344070465,Hong Kong SAR,Female,69,Urban,Low,Married,Middle,3,2,3,Not trusted,5,0.626203704,0.4558333333,3,61+
344070917,Hong Kong SAR,Female,69,Urban,Low,Married,Lower,5,3,2,Not trusted,6,0.2975,0.4002777778,3.5,61+
344070757,Hong Kong SAR,Male,69,Urban,Medium,Married,Lower,8,8,8,Trusted,2,0.283611111,0.6375,8,61+
344071809,Hong Kong SAR,Male,69,Urban,Medium,Married,Lower,6,6,6,Trusted,7,0.679444444,0.4566666667,6,61+
344070875,Hong Kong SAR,Male,69,Urban,Medium,Married,Middle,8,7,9,Trusted,8,0.45912037,0.36,8.5,61+
344070602,Hong Kong SAR,Male,69,Urban,Medium,Married,Lower,8,10,10,Not trusted,5,0.561527778,0.4566666667,9,61+
344070799,Hong Kong SAR,Female,69,Urban,Medium,Married,Middle,6,4,6,Not trusted,7,0.41787037,0.7202777778,6,61+
344070911,Hong Kong SAR,Male,69,Urban,Medium,Widowed,Middle,5,1,5,Not trusted,9,0.555,0.2625,5,61+
344070812,Hong Kong SAR,Female,69,Urban,Low,Widowed,Middle,9,9,10,Not trusted,3,0.25120370400000003,0.415,9.5,61+
360070257,Indonesia,Female,69,Rural,Low,Widowed,Lower,10,10,8,Not trusted,9,0.362731482,0.2913888889,9,61+
360072427,Indonesia,Male,69,Rural,Low,Married,Lower,10,10,9,Trusted,10,0.165,0.1102777778,9.5,61+
360071413,Indonesia,Male,69,Rural,Low,Married,Middle,7,9,8,Not trusted,10,0.43,0.305,7.5,61+
458070596,Malaysia,Male,69,Urban,Medium,Living together as married,Lower,9,6,8,Not trusted,5,0.541111111,0.5525,8.5,61+
792070232,Turkey,Female,69,Urban,Medium,Widowed,Lower,6,3,5,Not trusted,5,0.491666667,0.2622222222,5.5,61+
344070394,Hong Kong SAR,Male,68,Urban,Low,Married,Lower,8,10,3,Not trusted,1,0.359583333,0.47,5.5,61+
344070786,Hong Kong SAR,Female,68,Urban,Medium,Married,Middle,7,9,5,Not trusted,10,0.378518519,0.3455555556,6,61+
344071772,Hong Kong SAR,Female,68,Urban,Medium,Married,Middle,8,7,8,Not trusted,8,0.512777778,0.165,8,61+
344072032,Hong Kong SAR,Female,68,Urban,Medium,Married,Higher,8,7,7,Trusted,7,0.461851852,0.7633333333,7.5,61+
344070631,Hong Kong SAR,Male,68,Urban,Low,Married,Middle,7,10,6,Not trusted,1,0.408611111,0.4716666667,6.5,61+
344070713,Hong Kong SAR,Male,68,Urban,Low,Divorced,Lower,5,5,5,Not trusted,3,0.385462963,0.5125,5,61+
344070889,Hong Kong SAR,Male,68,Urban,Low,Married,Lower,8,10,3,Not trusted,2,0.195648148,0.305,5.5,61+
344070908,Hong Kong SAR,Male,68,Urban,Low,Married,Middle,6,5,5,Not trusted,3,0.284166667,0.3964166667,5.5,61+
344070424,Hong Kong SAR,Female,68,Urban,High,Married,Lower,8,10,8,Trusted,1,0.410509259,0.2775,8,61+
344070567,Hong Kong SAR,Male,68,Urban,Medium,Married,Middle,7,7,7,Trusted,5,0.393888889,0.5825,7,61+
344070669,Hong Kong SAR,Male,68,Urban,Medium,Married,Middle,9,9,8,Not trusted,2,0.33875,0.43,8.5,61+
344070025,Hong Kong SAR,Female,68,Urban,Low,Married,Lower,10,10,3,Not trusted,10,0.194166667,0.4,6.5,61+
344070524,Hong Kong SAR,Male,68,Urban,Medium,Married,Lower,5,5,7,Trusted,1,0.5475,0.3461111111,6,61+
344070784,Hong Kong SAR,Male,68,Urban,Medium,Married,Middle,8,6,6,Not trusted,2,0.255416667,0.1941666667,7,61+
360071412,Indonesia,Male,68,Rural,Medium,Married,Lower,10,10,10,Not trusted,10,0.491805556,0.0277777778,10,61+
360071345,Indonesia,Female,68,Urban,Medium,Widowed,Lower,10,10,7,Not trusted,10,0.152083333,0.1797222222,8.5,61+
360070382,Indonesia,Male,68,Urban,Medium,Married,Lower,5,10,5,Not trusted,10,0.305,0.1797222222,5,61+
360073050,Indonesia,Male,68,Rural,Low,Single,Lower,10,10,1,Not trusted,10,0.456666667,0.1105555556,5.5,61+
458070014,Malaysia,Male,68,Rural,Low,Married,Lower,8,6,8,Not trusted,10,0.297777778,0.2208333333,8,61+
458070461,Malaysia,Female,68,Urban,Medium,Married,Lower,5,7,6,Trusted,8,0.341759259,0.4702777778,5.5,61+
458070532,Malaysia,Male,68,Rural,Low,Married,Lower,5,2,1,Not trusted,10,0.269305556,0.2480555556,3,61+
458070576,Malaysia,Male,68,Urban,Medium,Married,Higher,6,9,5,Not trusted,2,0.647592593,0.4008333333,5.5,61+
458070586,Malaysia,Male,68,Urban,Medium,Married,Lower,4,6,3,Not trusted,2,0.679166667,0.5060030556,3.5,61+
792070421,Turkey,Female,68,Urban,Medium,Widowed,Lower,5,5,6,Not trusted,7,0.493055556,0.3861111111,5.5,61+
792071076,Turkey,Male,68,Rural,Medium,Married,Lower,9,3,6,Not trusted,10,0.055,0.0138888889,7.5,61+
792071836,Turkey,Male,68,Urban,Low,Married,Lower,3,7,3,Not trusted,10,0.552407407,0.29,3,61+
792071682,Turkey,Male,68,Urban,Medium,Married,Lower,8,6,6,Not trusted,10,0.444166667,0.2633333333,7,61+
344070818,Hong Kong SAR,Female,67,Urban,Medium,Widowed,Lower,5,4,4,Not trusted,7,0.80037037,0.6508333333,4.5,61+
344070880,Hong Kong SAR,Male,67,Urban,Medium,Married,Lower,7,5,6,Trusted,1,0.466481482,0.7616666667,6.5,61+
344070257,Hong Kong SAR,Male,67,Urban,Medium,Married,Higher,7,7,6,Trusted,4,0.485,0.4291666667,6.5,61+
344071468,Hong Kong SAR,Female,67,Urban,Medium,Widowed,Lower,8,6,6,Not trusted,7,0.625787037,0.6922222222,7,61+
344070495,Hong Kong SAR,Male,67,Urban,Low,Married,Lower,10,8,8,Not trusted,4,0.417453704,0.4291666667,9,61+
344071851,Hong Kong SAR,Male,67,Urban,Medium,Married,Higher,3,3,4,Trusted,2,0.754074074,0.5541666667,3.5,61+
344070345,Hong Kong SAR,Female,67,Urban,Medium,Divorced,Higher,8,8,8,Not trusted,3,0.385462963,0.3452777778,8,61+
344070577,Hong Kong SAR,Male,67,Urban,Medium,Married,Middle,7,7,7,Not trusted,9,0.516574074,0.2488888889,7,61+
344070694,Hong Kong SAR,Male,67,Urban,Medium,Married,Lower,8,9,8,Trusted,5,0.519583333,0.3177777778,8,61+
344071784,Hong Kong SAR,Female,67,Urban,Medium,Single,Higher,7,7,7,Trusted,2,0.37620370400000003,0.6508333333,7,61+
344070085,Hong Kong SAR,Male,67,Urban,Low,Married,Lower,5,5,5,Not trusted,5,0.574191667,0.6502766667,5,61+
344070830,Hong Kong SAR,Male,67,Urban,Medium,Married,Lower,6,6,7,Trusted,6,0.435833333,0.4144444444,6.5,61+
344070347,Hong Kong SAR,Male,67,Urban,Medium,Married,Lower,10,5,3,Not trusted,3,0.442916667,0.4008333333,6.5,61+
344070130,Hong Kong SAR,Female,67,Urban,Medium,Widowed,Lower,8,8,6,Not trusted,6,0.443183704,0.2396296296,7,61+
344070165,Hong Kong SAR,Female,67,Urban,Medium,Married,Lower,10,9,9,Not trusted,1,0.228333333,0.2216666667,9.5,61+
344070559,Hong Kong SAR,Female,67,Urban,Low,Widowed,Lower,6,5,1,Not trusted,1,0.194166667,0.5134475,3.5,61+
344071031,Hong Kong SAR,Male,67,Urban,Low,Married,Lower,6,8,4,Not trusted,6,0.548055556,0.3033333333,5,61+
344070034,Hong Kong SAR,Female,67,Urban,Medium,Married,Lower,10,8,8,Not trusted,8,0.358240741,0.5675,9,61+
344070461,Hong Kong SAR,Male,67,Urban,Low,Divorced,Middle,5,5,4,Not trusted,4,0.679444444,0.4008333333,4.5,61+
344070698,Hong Kong SAR,Female,67,Urban,Medium,Divorced,Lower,10,7,10,Trusted,1,0.549814815,0.3461111111,10,61+
360070597,Indonesia,Female,67,Rural,Low,Widowed,Lower,6,7,2,Not trusted,9,0.261018519,0.3180555556,4,61+
